category,products,avg_price,avg_rating,reviews,avg_discount
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,18,722.1111111111111,4.094444444444445,1796911209381312478017969110134197722420247801796924642231696121631209381312478010134,49.111111111111114
Computers&Accessories|NetworkingDevices|Repeaters&Extenders,3,1652.3333333333333,4.2,4955115663816182,54.333333333333336
Computers&Accessories|NetworkingDevices|Routers,9,1626.3333333333333,4.2555555555555555,350241224786840986562034222375107251267911113,44.666666666666664
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",4,612.5,4.25,7199861445673219,13.0
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",1,549.0,4.3,1367,73.0
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges",1,598.0,4.1,2535,48.0
"Computers&Accessories|Printers,Inks&Accessories|Printers",3,5065.666666666667,3.6666666666666665,2176241998280,13.666666666666666
"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters",1,3498.0,3.4,12185,10.0
Electronics|Accessories|MemoryCards|MicroSD,13,839.7692307692307,4.330769230769231,672596725967259140036140036326256726067260672621400353262519624205052,58.84615384615385
Electronics|Accessories|MemoryCards|SecureDigitalCards,1,449.0,4.4,69585,44.0
Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,1,299.0,3.8,40895,25.0
Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits,1,299.0,4.2,24432,40.0
Electronics|Cameras&Photography|Accessories|Film,1,549.0,4.5,4875,0.0
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,1,699.0,4.3,6183,46.0
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits,1,1549.0,4.4,15137,38.0
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,2,562.5,4.35,2713910773,69.5
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,2,374.0,4.05,213726676,62.5
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,1,799.0,3.8,12958,60.0
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,5,2757.2,4.1,9311218803606446965554,42.6
Electronics|Cameras&Photography|VideoCameras,1,499.0,3.7,3369,75.0
Electronics|GeneralPurposeBatteries&BatteryChargers,4,489.25,4.375,2655635748525996,23.5
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,7,327.42857142857144,4.414285714285715,28030644178109892866315992111,14.285714285714286
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,3,376.0,4.166666666666667,116872720113971,13.333333333333334
"Electronics|Headphones,Earbuds&Accessories|Adapters",2,120.0,3.9,64916491,88.0
"Electronics|Headphones,Earbuds&Accessories|Cases",1,119.0,4.3,15032,76.0
"Electronics|Headphones,Earbuds&Accessories|Earpads",1,99.0,3.8,594,90.0
